filename,fold,author
1161364/iNat1216197.ogg,1,Lucas Barbosa
1161364/iNat1114648.ogg,1,Lucas Barbosa
1161364/iNat810195.ogg,1,Lucas Barbosa
1161364/iNat818781.ogg,1,Lucas Barbosa
1161364/iNat556514.ogg,1,Lucas Barbosa
1161364/iNat868369.ogg,4,Carlos Otávio Gussoni
1161364/iNat842139.ogg,2,Pedro Cavalcante
1161364/iNat840159.ogg,2,Pedro Cavalcante
1161364/iNat1264238.ogg,1,Alexandre S. Michelotto
1161364/iNat869958.ogg,0,Vitor C. Dias Gonçalves
1161364/iNat547199.ogg,2,Douglas Henrique Bottura Maccagnan
116570/iNat1460166.ogg,4,Unknown
1176823/iNat936019.ogg,4,Nadia Naab
1176823/iNat1708543.ogg,2,Hugo
1176823/iNat389418.ogg,3,Geografiaargentina
1176823/iNat188986.ogg,0,Nadia Bach
1176823/iNat145706.ogg,0,lorenzohughes
1176823/iNat1641731.ogg,1,Iker Aparicio
1176823/iNat845830.ogg,1,Javier Piquillén
1176823/iNat730318.ogg,2,vinicius_s_domingues
1176823/iNat730319.ogg,2,vinicius_s_domingues
1176823/iNat1269019.ogg,3,Gabriel Laufer
1176823/iNat819936.ogg,1,Pablo H Capovilla
1176823/iNat829107.ogg,4,Alan Hentz
1595929/iNat1308166.ogg,4,Sebastián Gómez Barboza Silveira
1595929/iNat1679888.ogg,4,Sebastián Gómez Barboza Silveira
1595929/iNat1242532.ogg,3,Gabriel Laufer
1595929/iNat1242529.ogg,3,Gabriel Laufer
1595929/XC999239.ogg,2,Franco Vushurovich
209233/iNat1545859.ogg,3,Moses J. Michelsohn
209233/iNat864998.ogg,0,Sam
22930/iNat897105.ogg,4,Esteban Diego Koch
22930/iNat317238.ogg,0,Diego Santana
22930/iNat910967.ogg,4,Rich Hoyer
22930/iNat1248662.ogg,0,geraldomorais
22930/XC940773.ogg,3,Fernanda Fernandex
22930/iNat330099.ogg,3,Laurent Quéno
22956/iNat1301818.ogg,1,Valentín Alfano
22956/iNat1284850.ogg,1,Daniela Luján Ogeda
22956/iNat1693371.ogg,2,Agustín Gabriel Álvarez
22956/iNat1702693.ogg,2,Agustín Gabriel Álvarez
22956/iNat1300149.ogg,0,Damián Ganime
22956/iNat1298529.ogg,0,Damián Ganime
22956/iNat1261831.ogg,1,Daniela Luján Ogeda
22956/iNat1693794.ogg,4,Unknown
22956/iNat972765.ogg,4,Nadia Naab
22956/iNat60929.ogg,0,Sebastián Mántaras
22956/iNat1701222.ogg,4,em-hix
22956/iNat1711085.ogg,0,mik
22956/iNat879304.ogg,1,Pau
22956/iNat182971.ogg,2,JuanMa PerezIglesias
22956/XC900618.ogg,1,Guillermo Treboux
22956/iNat886570.ogg,2,vinicius_s_domingues
22956/iNat1257825.ogg,3,Sebastián
22956/iNat854298.ogg,0,Leonardo Adrián LEIVA
22956/iNat1705476.ogg,3,Gabriel Laufer
22956/iNat1637913.ogg,4,Sebastián Gómez Barboza Silveira
22956/iNat1307619.ogg,4,Sebastián Gómez Barboza Silveira
22956/iNat1723893.ogg,4,Sebastián Gómez Barboza Silveira
22956/iNat1307645.ogg,4,Sebastián Gómez Barboza Silveira
22956/iNat1245289.ogg,4,Celso Henrique Varela Rios
22956/iNat1282546.ogg,4,Unknown
22956/iNat1282547.ogg,4,Unknown
22956/iNat859870.ogg,3,Luiz Ugioni
22956/iNat859871.ogg,3,Luiz Ugioni
22956/iNat327340.ogg,3,Laurent Quéno
22956/iNat328497.ogg,3,Laurent Quéno
22956/iNat330827.ogg,3,Laurent Quéno
22956/iNat804970.ogg,2,Liu Idárraga Orozco
22961/iNat846512.ogg,4,Clarice Dorocinski
22961/iNat1662496.ogg,4,Esteban Diego Koch
22961/iNat1657948.ogg,2,Amaël Borzée
22961/iNat839121.ogg,4,Carlos Otávio Gussoni
22961/XC1062603.ogg,3,Fabrício Grigolin
22961/iNat512578.ogg,4,Jennifer Rycenga
22967/iNat56387.ogg,1,Pablo Preliasco
22967/iNat321313.ogg,4,Leandro Bareiro Guiñazú
22967/iNat1697350.ogg,4,B Howe
22967/iNat1448422.ogg,3,Guille Ivan Spajic
22967/iNat1698104.ogg,0,Vicente Pantoja
22967/iNat1698107.ogg,0,Vicente Pantoja
22967/iNat1698105.ogg,0,Vicente Pantoja
22967/iNat911059.ogg,4,Rich Hoyer
22973/iNat28425.ogg,3,João Gava Just
22973/iNat326860.ogg,3,Guille Ivan Spajic
22973/iNat326854.ogg,3,Guille Ivan Spajic
22973/iNat330457.ogg,4,Gonzalo Diaz
22973/iNat326966.ogg,3,Guille Ivan Spajic
22973/iNat1257589.ogg,1,HUGO DAVID CAVERZASI
22973/iNat1257590.ogg,1,HUGO DAVID CAVERZASI
22973/iNat839779.ogg,3,Rony Ristow
22973/iNat1267679.ogg,3,Joplo
22973/iNat887040.ogg,1,Leonardo Breder Passalacqua
22973/iNat887102.ogg,1,Leonardo Breder Passalacqua
