primary_label,class_name,stage,perch_idxs
1161364,Insecta,sciname_fallback,5743
116570,Reptilia,unmapped,
1176823,Amphibia,sciname_fallback,7018
1491113,Amphibia,unmapped,
1595929,Amphibia,unmapped,
209233,Mammalia,sciname_fallback,4745
22930,Amphibia,sciname_fallback,7037
22956,Amphibia,sciname_fallback,7023
22961,Amphibia,sciname_fallback,7032
22967,Amphibia,sciname_fallback,7002
22973,Amphibia,sciname_fallback,7006
22983,Amphibia,sciname_fallback,7012
22985,Amphibia,sciname_fallback,7030
23150,Amphibia,sciname_fallback,10365
23154,Amphibia,sciname_fallback,10358
23158,Amphibia,sciname_fallback,10359
23176,Amphibia,sciname_fallback,11307
23724,Amphibia,sciname_fallback,10246
24279,Amphibia,sciname_fallback,12393
24285,Amphibia,sciname_fallback,12387
24287,Amphibia,sciname_fallback,12386
24321,Amphibia,sciname_fallback,12373
244024,Insecta,sciname_fallback,11813
25073,Amphibia,unmapped,
25092,Amphibia,sciname_fallback,4504
25214,Amphibia,sciname_fallback,4122
326272,Amphibia,sciname_fallback,10363
41970,Mammalia,sciname_fallback,9609
43435,Mammalia,sciname_fallback,427
47144,Mammalia,sciname_fallback,2158
47158son01,Insecta,unmapped,
47158son02,Insecta,unmapped,
47158son03,Insecta,unmapped,
47158son04,Insecta,unmapped,
47158son05,Insecta,unmapped,
47158son06,Insecta,unmapped,
47158son07,Insecta,unmapped,
47158son08,Insecta,unmapped,
47158son09,Insecta,unmapped,
47158son10,Insecta,unmapped,
47158son11,Insecta,unmapped,
47158son12,Insecta,unmapped,
47158son13,Insecta,unmapped,
47158son14,Insecta,unmapped,
47158son15,Insecta,unmapped,
47158son16,Insecta,unmapped,
47158son17,Insecta,unmapped,
47158son18,Insecta,unmapped,
47158son19,Insecta,unmapped,
47158son20,Insecta,unmapped,
47158son21,Insecta,unmapped,
47158son22,Insecta,unmapped,
47158son23,Insecta,unmapped,
47158son24,Insecta,unmapped,
47158son25,Insecta,unmapped,
476521,Amphibia,sciname_fallback,10376
516975,Mammalia,unmapped,
517063,Amphibia,sciname_fallback,10512
555123,Amphibia,sciname_fallback,1591
555145,Amphibia,sciname_fallback,1601
555146,Amphibia,sciname_fallback,1602
64898,Amphibia,sciname_fallback,516
65377,Amphibia,sciname_fallback,4102
65380,Amphibia,sciname_fallback,4105
66971,Amphibia,sciname_fallback,11273
67107,Amphibia,sciname_fallback,12036
67252,Amphibia,sciname_fallback,13854
70711,Amphibia,sciname_fallback,7019
738183,Mammalia,sciname_fallback,10630
74113,Mammalia,sciname_fallback,1666
74580,Mammalia,unmapped,
760266,Insecta,sciname_fallback,11079
ashgre1,Aves,exact_ebird,6287
astcra1,Aves,exact_ebird,8365
bafcur1,Aves,exact_ebird,3575
baffal1,Aves,exact_ebird,8048
banana,Aves,exact_ebird,3176
barant1,Aves,exact_ebird,13626
batbel1,Aves,exact_ebird,11156
baymac,Aves,exact_ebird,1029
bbwduc,Aves,exact_ebird,4054
bcwfin2,Aves,exact_ebird,8120
bkcdon,Aves,exact_ebird,4286
bkhpar,Aves,exact_ebird,1062
blchaw1,Aves,exact_ebird,1850
blheag1,Aves,exact_ebird,12852
blttit1,Aves,exact_ebird,13752
bncfly,Aves,exact_ebird,8430
bobfly1,Aves,exact_ebird,7738
brcmar1,Aves,exact_ebird,11171
brnowl,Aves,exact_ebird,14210
bucmot4,Aves,exact_ebird,8235
bucpar,Aves,exact_ebird,13652
bufpar,Aves,exact_ebird,460
bunibi1,Aves,exact_ebird,13655
burowl,Aves,exact_ebird,1309
camfli1,Aves,exact_ebird,3181
chacha1,Aves,exact_ebird,9351
chbmoc1,Aves,exact_ebird,8155
chobla1,Aves,exact_ebird,5580
chvcon1,Aves,exact_ebird,3290
cibspi1,Aves,exact_ebird,13255
coffal1,Aves,exact_ebird,8049
compau,Aves,exact_ebird,8965
compot1,Aves,exact_ebird,8957
crbthr1,Aves,exact_ebird,14072
crebec1,Aves,exact_ebird,9568
